id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae
1.38,"Bradford ,",-11.087218999862671,5.360699892044067,6.796357870101929
1.39,where,-3.397051066160202,8.144961833953857,9.781048774719238
1.40,once,-6.814342975616455,4.307139396667480,4.756262302398682
1.41,a,-2.437239408493042,4.381289958953857,5.236144065856934
1.42,thousand,-5.296307086944580,4.931971073150635,5.476145267486572
1.43,spinning,-13.332278251647949,3.781614303588867,5.545834064483643
1.44,jennies,-22.940168499946594,11.381525278091431,18.307449579238892
1.45,that,-7.737629890441895,4.757299423217773,5.283745765686035
1.46,hummed,-13.627698570489885,8.766497611999513,9.861910820007324
1.47,and,-3.270803451538086,5.570069313049316,5.543748855590820
1.48,clattered,-11.087760530412195,12.381292462348938,14.979975938796995
1.49,spun,-13.941024780273438,6.372394800186157,8.978981971740723
1.50,wool,-13.175576686859131,7.296141624450684,9.164540290832520
1.51,into,-2.839438199996948,5.814421176910400,6.151648521423340
1.52,money,-8.578582763671875,5.128302574157715,5.813755989074707
1.53,for,-3.946380138397217,4.468748569488525,4.555047035217285
1.54,the,-1.600162982940674,5.569146633148193,5.840166091918945
1.55,long-bearded,-17.394679985009134,19.956663846969604,26.848277568817139
1.56,mill,-8.330609321594237,4.086368560791017,4.538257598876953
1.57,owners .,-6.782188251614571,12.578747749328613,13.806301593780518
1.58,That,-4.601949214935303,0.000000000000000,0.000000000000000
1.59,all,-7.157946586608888,2.603742837905884,5.065250396728517
1.60,mill,-10.753918647766113,1.973649740219116,4.079020500183105
1.61,owners,-2.751420021057129,3.131549119949341,5.885636329650879
1.62,were,-3.816885232925415,4.218125343322754,5.707275390625000
1.63,generally,-8.264147688634694,5.621940851211548,9.624539375305176
1.64,busy,-7.120757579803468,5.146827220916748,5.755291461944580
1.65,as,-5.451234340667725,4.824125289916992,5.245164394378662
1.66,beavers,-14.215660095214846,8.040776491165161,11.304335594177244
1.67,and,-3.618999004364014,4.990942955017090,5.398623943328857
1.68,quite,-10.194963455200195,4.234375953674316,5.896607875823975
1.69,pleased,-5.522943624469916,7.887087821960449,10.491217136383057
1.70,with,-1.653837919235229,5.629276275634767,5.820068359375000
1.71,themselves,-7.267507076263428,4.762706279754639,5.096415042877197
1.72,for,-5.105336189270020,6.022802352905273,6.113582611083983
1.73,being,-4.667517662048340,4.889062404632568,5.838083267211914
1.74,so,-4.561958312988281,4.663991451263428,6.134761333465576
1.75,successful,-3.523627758026123,5.191589355468750,5.399593830108643
1.76,and,-3.522976160049438,5.158344745635986,5.719591140747070
1.77,well,-5.480800151824951,4.476216793060303,6.035678863525392
1.78,off,-6.937518596649170,5.350617408752441,5.556142330169678
1.79,was,-5.532428741455078,4.968086719512940,5.593162059783936
1.80,known,-7.272921800613402,8.535217285156250,10.429462909698486
1.81,to,-1.721040487289429,5.428445816040039,5.755806922912598
1.82,the,-1.943312287330628,4.623580455780028,5.526358127593994
1.83,residents,-6.344696760177612,7.071518898010254,9.667164802551270
1.84,of,-0.700984895229340,4.601972579956055,5.556111335754395
1.85,"Bradford ,",-11.265084624290466,6.210973978042603,7.906302452087402
1.86,and,-5.344464302062988,5.525691032409668,5.516834259033203
1.87,if,-5.406410217285156,5.638180255889893,5.570700168609619
1.88,you,-3.013970136642456,5.823809146881104,6.034298896789551
1.89,were,-1.635722517967224,5.117802619934082,5.474306583404541
1.90,to,-1.941455006599426,4.881705760955811,5.556765079498291
1.91,go,-3.876433849334717,5.626805782318115,6.566976070404053
1.92,into,-2.660761833190918,5.418768882751465,5.836356163024902
1.93,the,-1.488758087158203,4.486876487731934,4.950292587280273
1.94,city,-5.047132492065430,3.607000350952149,4.602350234985352
1.95,to,-3.617145061492920,5.545580863952637,6.288889884948730
1.96,visit,-5.096591949462892,4.952335834503174,5.286891937255858
1.97,the,-1.643208742141724,5.052271842956543,5.456996917724608
1.98,stately,-12.408676624298096,9.472046375274658,11.157366275787354
1.99,City,-7.264491558074951,4.409657478332520,5.653055191040039
1.100,"Hall ,",-2.128227710723877,8.702657222747803,9.994465351104736
1.101,you,-1.334708452224731,4.777020931243896,5.206143856048584
1.102,would,-1.334725618362427,5.362483978271483,5.933921813964844
